iter	Passed	Remaining
308	622	1392
309	624	1389
310	626	1387
311	628	1386
312	631	1386
313	635	1387
314	637	1385
315	639	1383
316	641	1381
317	643	1379
318	645	1377
319	647	1375
320	649	1373
321	650	1370
322	652	1368
323	654	1365
324	656	1363
325	658	1361
326	660	1358
327	662	1356
328	663	1353
329	665	1351
330	667	1348
331	669	1346
332	671	1344
333	673	1342
334	675	1341
335	689	1362
336	691	1359
337	692	1357
338	694	1354
339	696	1352
340	698	1349
341	699	1346
342	701	1344
343	703	1342
344	705	1339
345	708	1339
346	710	1337
347	713	1336
348	715	1334
349	717	1332
350	719	1330
351	721	1328
352	723	1326
353	725	1323
354	727	1321
355	729	1319
356	731	1317
357	733	1314
358	735	1312
359	737	1310
360	739	1308
361	741	1307
362	743	1305
363	745	1303
364	747	1300
365	749	1299
366	751	1296
367	754	1294
368	756	1293
369	758	1291
370	760	1289
371	762	1287
372	764	1285
373	766	1282
374	768	1280
375	770	1278
376	772	1276
377	774	1274
378	776	1271
379	777	1269
380	779	1267
381	782	1265
382	784	1263
383	786	1261
384	788	1259
385	790	1257
386	792	1255
387	794	1252
388	796	1250
389	798	1248
390	800	1246
391	802	1244
392	804	1242
393	806	1239
394	807	1237
395	809	1235
396	811	1232
397	813	1230
398	815	1228
399	817	1225
400	818	1223
401	820	1221
402	822	1218
403	824	1216
404	826	1214
405	828	1212
406	830	1210
407	833	1208
408	835	1206
409	837	1204
410	839	1202
411	840	1200
412	842	1198
413	844	1195
414	846	1193
415	848	1190
416	850	1188
417	851	1185
418	853	1183
419	855	1181
420	857	1179
421	859	1177
422	861	1175
423	863	1173
424	865	1171
425	868	1169
426	870	1167
427	872	1165
428	874	1163
429	876	1161
430	877	1159
431	879	1156
432	881	1154
433	883	1152
434	885	1149
435	887	1147
436	889	1145
437	890	1143
438	892	1140
439	894	1138
440	896	1136
441	899	1135
442	901	1133
443	903	1130
444	905	1129
445	907	1127
446	909	1125
447	911	1123
448	913	1121
449	915	1118
450	917	1116
451	918	1114
452	920	1111
453	922	1109
454	924	1107
455	926	1105
456	928	1102
457	930	1100
458	932	1098
459	935	1097
460	937	1096
461	940	1095
462	942	1093
463	944	1091
464	946	1089
465	948	1086
466	950	1084
467	952	1082
468	953	1080
469	955	1077
470	957	1075
471	959	1073
472	961	1071
473	963	1068
474	964	1066
475	966	1064
476	968	1062
477	971	1060
478	973	1058
479	974	1056
480	976	1054
481	978	1051
482	980	1049
483	982	1047
484	984	1045
485	986	1043
486	989	1041
487	991	1039
488	993	1037
489	995	1035
490	997	1033
491	998	1031
492	1001	1029
493	1003	1027
494	1005	1025
495	1007	1023
496	1009	1021
497	1011	1019
498	1012	1016
499	1014	1014
500	1017	1013
501	1019	1011
502	1021	1009
503	1023	1006
504	1024	1004
505	1026	1002
506	1028	1000
507	1030	998
508	1032	995
509	1034	993
510	1036	991
511	1038	989
512	1040	987
513	1042	986
514	1044	984
515	1046	981
516	1048	980
517	1050	977
518	1052	975
519	1055	973
520	1058	973
521	1061	971
522	1063	969
523	1065	967
524	1067	965
525	1069	964
526	1072	962
527	1074	960
528	1076	958
529	1078	956
530	1080	954
531	1082	952
532	1084	950
533	1087	949
534	1090	947
535	1092	945
536	1094	943
537	1096	941
538	1098	939
539	1100	937
540	1102	935
541	1104	933
542	1107	931
543	1109	929
544	1111	927
545	1113	926
546	1115	924
547	1117	921
548	1119	919
549	1122	918
550	1123	915
551	1125	913
552	1128	911
553	1130	910
554	1133	908
555	1136	907
556	1139	905
557	1141	903
558	1143	902
559	1146	900
560	1148	898
561	1151	897
562	1153	895
563	1155	893
564	1158	891
565	1160	889
566	1162	887
567	1164	885
568	1166	883
569	1168	881
570	1170	879
571	1172	877
572	1174	875
573	1177	873
574	1179	872
575	1181	870
576	1185	868
577	1187	867
578	1190	865
579	1192	863
580	1194	861
581	1196	859
582	1198	857
583	1200	855
584	1203	853
585	1205	851
586	1208	850
587	1210	848
588	1212	846
589	1214	843
590	1216	841
591	1218	839
592	1220	837
593	1222	835
594	1224	833
595	1226	831
596	1228	829
597	1230	827
598	1232	825
599	1234	823
600	1236	820
601	1238	818
602	1240	816
603	1242	814
604	1245	812
605	1247	810
606	1249	808
607	1251	807
608	1254	805
609	1256	803
610	1259	801
611	1260	799
612	1263	797
613	1265	795
614	1267	793
615	1269	791
616	1271	789
617	1273	787
618	1275	784
619	1277	782
620	1279	780
621	1281	778
622	1282	776
623	1284	774
624	1287	772
625	1290	770
626	1292	768
627	1294	766
628	1296	764
629	1298	762
630	1301	760
631	1303	758
632	1305	756
633	1307	754
634	1309	752
635	1310	750
636	1313	748
637	1314	746
638	1316	743
639	1318	741
640	1320	739
641	1322	737
642	1325	735
643	1328	734
644	1330	732
645	1333	730
646	1335	728
647	1337	726
648	1340	724
649	1342	722
650	1344	720
651	1346	718
652	1348	716
653	1350	714
654	1352	712
655	1354	710
656	1356	708
657	1358	706
658	1360	704
659	1362	702
660	1364	699
661	1366	697
662	1369	695
663	1372	694
664	1374	692
665	1376	690
666	1379	688
667	1381	686
668	1384	684
669	1386	682
670	1388	680
671	1389	678
672	1391	676
673	1394	674
674	1395	672
675	1397	669
676	1400	668
677	1403	666
678	1406	665
679	1410	663
680	1412	661
681	1415	659
682	1417	657
683	1419	655
684	1421	653
685	1423	651
686	1425	649
687	1427	647
688	1429	645
689	1431	643
690	1433	641
691	1435	639
692	1437	636
693	1439	634
694	1441	632
695	1444	630
696	1446	628
697	1449	626
698	1451	625
699	1453	623
700	1456	621
701	1458	619
702	1460	616
703	1462	614
704	1464	612
705	1466	610
706	1468	608
707	1470	606
708	1472	604
709	1474	602
710	1477	600
711	1480	598
712	1483	597
713	1485	594
714	1487	593
715	1490	591
716	1492	589
717	1494	586
718	1496	584
719	1499	582
720	1500	580
721	1502	578
722	1504	576
723	1506	574
724	1508	572
725	1510	570
726	1512	568
727	1514	566
728	1516	563
729	1519	561
730	1521	560
731	1524	558
732	1526	556
733	1529	554
734	1532	552
735	1535	550
736	1537	548
737	1539	546
738	1541	544
739	1543	542
740	1545	540
741	1547	537
742	1549	535
743	1551	533
744	1554	532
745	1556	529
746	1559	528
747	1561	526
748	1563	524
749	1565	521
750	1568	519
751	1570	517
752	1572	515
753	1574	513
754	1576	511
755	1578	509
756	1580	507
757	1582	505
758	1584	503
759	1586	500
760	1588	498
761	1590	496
762	1592	494
763	1594	492
764	1596	490
765	1599	488
766	1602	486
767	1604	484
768	1607	482
769	1609	480
770	1612	478
771	1614	476
772	1616	474
773	1618	472
774	1620	470
775	1622	468
776	1624	466
777	1627	464
778	1629	462
779	1632	460
780	1634	458
781	1636	456
782	1638	454
783	1640	452
784	1643	450
785	1645	447
786	1647	445
787	1649	443
788	1651	441
789	1653	439
790	1656	437
791	1658	435
792	1660	433
793	1662	431
794	1664	429
795	1666	426
796	1667	424
797	1669	422
798	1671	420
799	1675	418
800	1677	416
801	1680	414
802	1682	412
803	1685	410
804	1687	408
805	1689	406
806	1691	404
807	1693	402
808	1695	400
809	1697	398
810	1699	396
811	1701	393
812	1704	392
813	1706	389
814	1708	387
815	1711	385
816	1713	383
817	1715	381
818	1716	379
819	1718	377
820	1720	375
821	1723	373
822	1725	371
823	1727	368
824	1729	366
825	1731	364
826	1733	362
827	1735	360
828	1737	358
829	1739	356
830	1741	354
831	1743	351
832	1745	349
833	1747	347
834	1750	345
835	1753	343
836	1756	341
837	1758	339
838	1760	337
839	1763	335
840	1765	333
841	1767	331
842	1770	329
843	1772	327
844	1773	325
845	1776	323
846	1778	321
847	1781	319
848	1784	317
849	1787	315
850	1789	313
851	1791	311
852	1793	309
853	1795	307
854	1797	304
855	1800	302
856	1802	300
857	1804	298
858	1806	296
859	1809	294
860	1811	292
861	1812	290
862	1814	288
863	1816	285
864	1818	283
865	1820	281
866	1823	279
867	1826	277
868	1828	275
869	1830	273
870	1832	271
871	1834	269
872	1837	267
873	1839	265
874	1841	263
875	1843	260
876	1845	258
877	1847	256
878	1850	254
879	1852	252
880	1854	250
881	1856	248
882	1858	246
883	1860	244
884	1862	241
885	1864	239
886	1866	237
887	1868	235
888	1871	233
889	1873	231
890	1876	229
891	1879	227
892	1881	225
893	1883	223
894	1886	221
895	1888	219
896	1890	217
897	1892	214
898	1894	212
899	1896	210
900	1899	208
901	1901	206
902	1904	204
903	1906	202
904	1908	200
905	1910	198
906	1913	196
907	1915	194
908	1917	191
909	1919	189
910	1921	187
911	1923	185
912	1926	183
913	1928	181
914	1930	179
915	1932	177
916	1934	175
917	1936	173
918	1938	170
919	1940	168
920	1942	166
921	1944	164
922	1947	162
923	1949	160
924	1952	158
925	1955	156
926	1957	154
927	1960	152
928	1963	150
929	1965	147
930	1967	145
931	1970	143
932	1971	141
933	1973	139
934	1976	137
935	1979	135
936	1981	133
937	1984	131
938	1986	129
939	1988	126
940	1990	124
941	1992	122
942	1995	120
943	1997	118
944	1998	116
945	2001	114
946	2004	112
947	2006	110
948	2008	107
949	2010	105
950	2012	103
951	2014	101
952	2016	99
953	2018	97
954	2020	95
955	2023	93
956	2027	91
957	2029	88
958	2031	86
959	2033	84
960	2035	82
961	2037	80
962	2040	78
963	2042	76
964	2044	74
965	2046	72
966	2048	69
967	2051	67
968	2052	65
969	2054	63
970	2056	61
971	2059	59
972	2061	57
973	2064	55
974	2067	53
975	2069	50
976	2071	48
977	2073	46
978	2075	44
979	2077	42
980	2080	40
981	2082	38
982	2084	36
983	2086	33
984	2088	31
985	2090	29
986	2092	27
987	2094	25
988	2097	23
989	2100	21
990	2102	19
991	2105	16
992	2107	14
993	2109	12
994	2112	10
995	2114	8
996	2116	6
997	2118	4
998	2120	2
999	2122	0
